titre;nationalité;sortie;entrées (millions)
PLANETE DES SINGES : LES ORIGINES (LA);ETATS UNIS;10/08/2011;3261329
DISCOURS D'UN ROI (LE);GRANDE BRETAGNE;02/02/2011;3028578
CARS 2;ETATS UNIS;27/07/2011;2909835
SCHTROUMPFS (LES);ETATS UNIS;03/08/2011;2812856
KUNG FU PANDA 2;ETATS UNIS;15/06/2011;2698008
BLACK SWAN;ETATS UNIS;09/02/2011;2651092
TRANSFORMERS 3 : LA FACE CACHEE DE LA LUNE;ETATS UNIS;29/06/2011;2623554
FAST & FURIOUS 5;ETATS UNIS;04/05/2011;2520047
VERY BAD TRIP 2;ETATS UNIS;25/05/2011;2505709
RIO;ETATS UNIS;13/04/2011;2442881
POLISSE;FRANCE;19/10/2011;2323038
FEMMES DU 6EME ETAGE (LES);FRANCE;16/02/2011;2278645
X-MEN : LE COMMENCEMENT;ETATS UNIS;01/06/2011;2103132
AU-DELA;ETATS UNIS;19/01/2011;1933044
HOLLYWOO;FRANCE;07/12/2011;1879144
CASE DEPART;FRANCE;06/07/2011;1771310
MISSION : IMPOSSIBLE PROTOCOLE FANTOME;ETATS UNIS;14/12/2011;1747775
UN MONSTRE A PARIS;FRANCE;12/10/2011;1739232
MINUIT A PARIS;ESPAGNE;11/05/2011;1734167
THOR;ETATS UNIS;27/04/2011;1726057
THE ARTIST;FRANCE;12/10/2011;1578021
NOUVELLE GUERRE DES BOUTONS (LA);FRANCE;21/09/2011;1543213
DRIVE;ETATS UNIS;05/10/2011;1541339
TUCHE (LES);FRANCE;01/07/2011;1532865
SUPER 8;ETATS UNIS;03/08/2011;1532544
ELEVE DUCOBU (L');FRANCE;22/06/2011;1489782
GUERRE DES BOUTONS (LA);FRANCE;14/09/2011;1484494
BIENVENUE A BORD;FRANCE;05/10/2011;1429530
TRUE GRIT;ETATS UNIS;23/02/2011;1406227
FILLE DU PUISATIER (LA);FRANCE;20/04/2011;1400903
ALVIN ET LES CHIPMUNKS 3;ETATS UNIS;21/12/2011;1371768
LARGO WINCH 2;FRANCE / BELGIQUE / ALLEMAGNE;16/02/2011;1342836
TITEUF, LE FILM;FRANCE / SUISSE;06/04/2011;1267593
RANGO;ETATS UNIS;23/03/2011;1266311
FILS A JO (LE);FRANCE;12/01/2011;1200942
TRON L'HERITAGE;ETATS UNIS;09/02/2011;1190883
LYONNAIS (LES);FRANCE;30/11/2011;1093950
REAL STEEL;ETATS UNIS;19/10/2011;1081043
CAPTAIN AMERICA - FIRST AVENGER;ETATS UNIS;17/08/2011;1071108
SCREAM 4;ETATS UNIS;13/04/2011;1068889
TIME OUT;ETATS UNIS;23/11/2011;1045885
CHANCE DE MA VIE (LA);FRANCE / BELGIQUE;05/01/2011;1038592
ANIMAUX & CIE;Allemagne;09/02/2011;1033542
MA PART DU GATEAU;FRANCE;16/03/2011;1026465
